id,title,series,author,,genre,date_published,publisher,,,review_count,rating_count,rate
0,The Martian,"
        (The Martian #1)
",Andy Weir,,"Science Fiction,Fiction,Audiobook,Adventure,Space,Adult,Science Fiction Fantasy,Thriller,Humor",February 11th 2014,"Crown

            ,",,,"77,156","919,781",4.4
1,Under the Banner of Heaven: A Story of Violent Faith,,Jon Krakauer,,"Nonfiction,Religion,History,Crime,True Crime,Mystery,Crime,Audiobook,Biography,Religion,Cults,Book Club",2004,"Pan MacMillan

            ,",,,"10,981","173,895",3.98
2,Cutting for Stone,,Abraham   Verghese,,"Fiction,Historical,Historical Fiction,Cultural,Africa,Book Club,Health,Medicine,Eastern Africa,Ethiopia,Medical,Novels,Literary Fiction",February 3rd 2009,"Alfred A. Knopf

            ,",,,"26,253","353,365",4.29
3,We Need to Talk About Kevin,,Lionel Shriver,,"Fiction,Contemporary,Thriller,Horror,Mystery,Crime,Drama,Psychology,Adult,Literary Fiction",July 3rd 2006,"Harper Perennial

            ,",,,"14,787","187,639",4.04
4,The Immortal Life of Henrietta Lacks,,Rebecca Skloot,,"Nonfiction,Science,History,Biography,Health,Medicine,Audiobook,Medical,Book Club,Biography Memoir",February 2nd 2010,"Crown Publishing Group

            ,",,,"36,574","646,155",4.07
5,"Eragon (The Inheritance Cycle, #1)","
        (The Inheritance Cycle #1)
",Christopher Paolini,,"Fantasy,Young Adult,Fiction,Fantasy,Dragons,Adventure,Fantasy,Magic,Fantasy,High Fantasy,Science Fiction Fantasy,Young Adult,Young Adult Fantasy",Apr-05,"Alfred A. Knopf

            ,",,,"23,615","1,553,966",3.92
6,Unaccustomed Earth,,Jhumpa Lahiri,,"Fiction,Short Stories,Cultural,India,Contemporary,Literary Fiction,Asian Literature,Indian Literature,Literature,Adult,Book Club",2008,Knopf,,,"8,175","92,251",4.07
7,"A Dance with Dragons (A Song of Ice and Fire, #5)","
        (A Song of Ice and Fire #5)
",George R.R. Martin,,"Fantasy,Fiction,Fantasy,Epic Fantasy,Science Fiction Fantasy,Fantasy,High Fantasy,Fantasy,Dragons,Adult,Adventure,Audiobook",July 12th 2011,Bantam,,,"22,819","594,152",4.31
8,The Outlands  (The Outlands Saga #1),"
        (The Outlands Saga #1)
",Tyler Edwards,,"Young Adult,Science Fiction,Dystopia,Science Fiction,Fantasy,Thriller,Adventure,Apocalyptic,Post Apocalyptic,Action,Fiction",December 14th 2020,iFlow Creative,,,145,690,4.17
9,"Clockwork Angel (The Infernal Devices, #1)","
        (The Infernal Devices #1)
",Cassandra Clare,,"Fantasy,Young Adult,Romance,Fantasy,Paranormal,Science Fiction,Steampunk,Historical,Historical Fiction,Fiction,Fantasy,Urban Fantasy,Paranormal,Vampires",August 31st 2010,Margaret K. McElderry Books,,,"35,507","753,069",4.3
10,"World Without End (Kingsbridge, #2)","
        (Kingsbridge #2)
",Ken Follett,,"Historical,Historical Fiction,Fiction,Historical,Historical,Medieval,Audiobook,European Literature,British Literature,Novels,Romance,Fantasy",October 4th 2007,Dutton,,,"12,064","223,408",4.26
